index,Artist,Track,Album,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Views,Likes,Comments,Stream
1147,Luis Fonsi,Despacito,VIDA,0.655,0.797,2.0,-4.787,0.153,0.198,0.0,0.067,0.839,177.928,229360.0,8079649362.0,50788652.0,4252791.0,1506598267.0
14580,Charlie Puth,See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),0.689,0.481,10.0,-7.503,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,229526.0,5773798407.0,40147674.0,2127346.0,1521254554.0
14561,BTS,Dynamite,BE,0.746,0.765,6.0,-4.41,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,1640945859.0,35892575.0,16083138.0,1582446481.0
12452,Ed Sheeran,Shape of You,÷ (Deluxe),0.825,0.652,1.0,-3.183,0.0802,0.581,0.0,0.0931,0.931,95.977,233713.0,5908398479.0,31047780.0,1130327.0,3362005201.0
16030,Halsey,Boy With Luv (feat. Halsey),MAP OF THE SOUL : PERSONA,0.645,0.862,11.0,-4.761,0.0845,0.0933,0.0,0.193,0.803,119.947,229773.0,1634110128.0,27588224.0,6535719.0,989478029.0
16668,Alan Walker,Faded,Different World,0.468,0.627,6.0,-5.085,0.0476,0.0281,7.97e-06,0.11,0.159,179.642,212107.0,3400741854.0,26446178.0,1250054.0,1683178074.0
8937,PSY,Gangnam Style (강남스타일),Gangnam Style (강남스타일),0.727,0.937,11.0,-2.871,0.286,0.00417,0.0,0.091,0.749,132.067,219493.0,4679767471.0,26399133.0,5331537.0,370991124.0
18568,Billie Eilish,lovely (with Khalid),lovely (with Khalid),0.351,0.296,4.0,-10.109,0.0333,0.934,0.0,0.095,0.12,115.284,200186.0,1721400523.0,24426202.0,561906.0,2110573779.0
17999,BLACKPINK,How You Like That,THE ALBUM,0.812,0.761,11.0,-5.222,0.0812,0.0465,0.000135,0.0601,0.344,130.032,182956.0,1182611467.0,24290306.0,5130725.0,733213843.0
14076,Justin Bieber,Baby,My World 2.0,0.728,0.859,5.0,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,214240.0,2905792670.0,23212268.0,4805805.0,625188054.0
14030,Imagine Dragons,Believer,Evolve,0.776,0.78,10.0,-4.374,0.128,0.0622,0.0,0.081,0.666,124.949,204347.0,2369714846.0,20483444.0,613230.0,2369272335.0
154,Shakira,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Listen Up! The Official 2010 FIFA World Cup Album,0.758,0.871,2.0,-6.408,0.147,0.0062,0.0,0.0663,0.753,126.994,202627.0,3463816330.0,20327883.0,1283529.0,629918488.0
10686,Mark Ronson,Uptown Funk (feat. Bruno Mars),Uptown Special,0.856,0.609,0.0,-7.223,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,269667.0,4821016218.0,20067879.0,598916.0,1653819736.0
18046,Camila Cabello,Señorita,Shawn Mendes (Deluxe),0.759,0.548,9.0,-6.049,0.029,0.0392,0.0,0.0828,0.749,116.967,190800.0,1487650910.0,19846122.0,640320.0,2336219850.0
12080,Steve Aoki,MIC Drop (Steve Aoki Remix) - Full Length Edition,Love Yourself 結 'Answer',0.606,0.85,11.0,-3.952,0.183,0.0114,1.01e-06,0.206,0.542,170.01,307676.0,1300861371.0,19663558.0,3109122.0,268319144.0
16637,Ozuna,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",0.842,0.801,8.0,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,2414202125.0,18776043.0,552970.0,1379765140.0
15389,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,0.842,0.801,8.0,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,212500.0,2414201716.0,18776025.0,552969.0,1379765140.0
14089,Twenty One Pilots,Stressed Out,Blurryface,0.734,0.637,4.0,-5.677,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333.0,2621773189.0,18065718.0,624297.0,1833638048.0
