Artist,Likes,Valence,Speechiness,Acousticness,Instrumentalness,Liveness,Energy
Luis Fonsi,50788652.0,0.839,0.153,0.198,0.0,0.067,0.797
Wiz Khalifa,40147618.0,0.283,0.0815,0.369,1.03e-06,0.0649,0.481
Daddy Yankee,31912611.0,0.7475,0.10615,0.154,9.7e-07,0.062200000000000005,0.8285
Halsey,27588224.0,0.803,0.0845,0.0933,0.0,0.193,0.862
Charlie Puth,26895411.5,0.3175,0.10775000000000001,0.495,5.15e-07,0.12195,0.522
Alan Walker,26446178.0,0.159,0.0476,0.0281,7.97e-06,0.11,0.627
PSY,26399133.0,0.749,0.286,0.00417,0.0,0.091,0.937
BTS,25823606.25,0.7202500000000001,0.08032500000000001,0.028292499999999998,0.0,0.1756,0.70675
Khalid,24425840.0,0.12,0.0333,0.934,0.0,0.095,0.296
Ed Sheeran,21474840.0,0.5633333333333334,0.0443,0.40599999999999997,0.0,0.1277,0.515
Shakira,20327883.0,0.753,0.147,0.0062,0.0,0.0663,0.871
Mark Ronson,20067879.0,0.928,0.0824,0.00801,8.15e-05,0.0344,0.609
Camila Cabello,19846122.0,0.749,0.029,0.0392,0.0,0.0828,0.548
Shawn Mendes,19846114.0,0.749,0.029,0.0392,0.0,0.0828,0.548
Steve Aoki,19663558.0,0.542,0.183,0.0114,1.01e-06,0.206,0.85
Justin Bieber,19500787.5,0.47250000000000003,0.091,0.059899999999999995,0.0,0.205,0.8095
BLACKPINK,18989102.5,0.49016666666666664,0.11473333333333334,0.08189666666666666,0.00039083333333333336,0.19469999999999998,0.8076666666666666
Ozuna,18776043.0,0.617,0.228,0.157,4.82e-06,0.0642,0.801
Selena Gomez,18776010.0,0.617,0.228,0.157,4.82e-06,0.0642,0.801
Billie Eilish,18487763.333333332,0.2933333333333334,0.16849999999999998,0.7466666666666667,0.04334656666666667,0.0949,0.2773333333333333
XXXTENTACION,17971673.0,0.711,0.0804,0.556,0.00404,0.102,0.537
DJ Snake,17493548.0,0.4455,0.14525,0.08023,0.00061741,0.3146,0.805
